"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2019","5.52","5.50","5.52","5.41","5.14M","0.91%"
"May 07, 2019","5.47","5.43","5.51","5.40","10.09M","0.74%"
"May 06, 2019","5.43","5.31","5.44","5.31","3.12M","2.07%"
"May 03, 2019","5.32","5.30","5.35","5.29","2.03M","0.19%"
"May 02, 2019","5.31","5.30","5.37","5.30","1.44M","-0.93%"
"Apr 30, 2019","5.36","5.35","5.38","5.27","3.27M","-0.37%"
"Apr 29, 2019","5.38","5.38","5.38","5.34","527.50K","-1.10%"
"Apr 26, 2019","5.44","5.34","5.44","5.32","1.65M","1.87%"
"Apr 25, 2019","5.34","5.32","5.36","5.32","1.87M","0.38%"
"Apr 24, 2019","5.32","5.36","5.36","5.28","1.46M","-0.37%"
"Apr 23, 2019","5.34","5.38","5.40","5.34","1.41M","-0.74%"
"Apr 22, 2019","5.38","5.33","5.43","5.33","1.18M","0.56%"
"Apr 19, 2019","5.35","5.41","5.42","5.35","1.57M","-1.11%"
"Apr 18, 2019","5.41","5.58","5.58","5.34","3.26M","-2.17%"
"Apr 17, 2019","5.53","5.55","5.55","5.45","1.24M","-0.54%"
"Apr 16, 2019","5.56","5.55","5.59","5.50","926.60K","0.00%"
"Apr 15, 2019","5.56","5.51","5.58","5.51","826.80K","0.91%"
"Apr 12, 2019","5.51","5.50","5.51","5.46","1.16M","0.18%"
"Apr 11, 2019","5.50","5.65","5.65","5.45","1.48M","-1.79%"
"Apr 10, 2019","5.60","5.61","5.61","5.53","1.03M","0.00%"
"Apr 09, 2019","5.60","5.68","5.68","5.56","2.00M","-1.75%"
"Apr 08, 2019","5.70","5.54","5.70","5.52","899.50K","3.83%"
"Apr 05, 2019","5.49","5.59","5.60","5.47","429.40K","-1.96%"
"Apr 04, 2019","5.60","5.51","5.60","5.46","687.20K","2.00%"
"Apr 03, 2019","5.49","5.43","5.53","5.43","299.30K","-0.72%"
"Apr 02, 2019","5.53","5.40","5.57","5.40","1.63M","2.98%"
"Apr 01, 2019","5.37","5.36","5.41","5.30","2.77M","0.19%"
"Mar 29, 2019","5.36","5.38","5.42","5.31","3.08M","0.00%"
"Mar 28, 2019","5.36","5.40","5.45","5.32","2.07M","-1.65%"
"Mar 27, 2019","5.45","5.37","5.45","5.34","756.90K","0.74%"
"Mar 26, 2019","5.41","5.38","5.44","5.26","810.10K","0.56%"
"Mar 25, 2019","5.38","5.40","5.46","5.31","1.18M","-3.24%"
"Mar 22, 2019","5.56","5.37","5.56","5.27","1.75M","4.32%"
"Mar 21, 2019","5.33","5.31","5.45","5.31","1.41M","-1.11%"
"Mar 20, 2019","5.39","5.37","5.39","5.35","1.50M","-0.19%"
